Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,0.0,344,363
DFS_LIM,1.0032654,292,73
DFS,2.0000934999999997,833,599
DFS_LIM,2.0003319,896,199
DFS,0.9999275,456,423
DFS_LIM,0.0,435,311
DFS,1.0001659,302,806
DFS_LIM,1.0008812,521,478
DFS,1.0011196,264,288
DFS_LIM,0.0,308,288
DFS,0.9984970000000001,411,379
DFS_LIM,1.0006428,624,315
DFS,2.0000934999999997,623,839
DFS_LIM,1.999855,666,685
DFS,0.9999275,848,485
DFS_LIM,2.0000934999999997,881,681
DFS,0.9999275,706,378
DFS_LIM,0.0,126,72
DFS,2.0010471,696,687
DFS_LIM,1.0008812,686,633
DFS,1.9993782,809,806
DFS_LIM,1.9979477,869,876
DFS,1.9996165999999997,603,684
DFS_LIM,2.0024776,626,578
DFS,2.0005702999999997,906,166
DFS_LIM,0.9999275,914,166
DFS,1.001358,582,578
DFS_LIM,2.0008087,617,524
DFS,0.9996891,536,558
DFS_LIM,0.9987354,630,352
DFS,1.9974709000000002,693,1208
DFS_LIM,2.0012856,727,710
DFS,0.9984970000000001,854,516
DFS_LIM,2.0000934999999997,904,316
DFS,0.9996891,391,789
DFS_LIM,1.001358,461,783
DFS,0.9999275,277,356
DFS_LIM,0.0,330,410
DFS,0.9999275,252,494
DFS_LIM,1.0006428,314,510
DFS,0.9999275,407,508
DFS_LIM,0.9994507,498,650
DFS,1.0020733,648,666
DFS_LIM,0.9999275,787,1000
DFS,0.9973048999999999,595,604
DFS_LIM,0.9996891,544,530
DFS,2.0008087,863,1104
DFS_LIM,1.0008812,840,1090
DFS,0.9996891,263,423
DFS_LIM,1.0011196,327,425
DFS,0.9970665,419,912
DFS_LIM,1.9977093,741,996
DFS,1.0001659,132,129
DFS_LIM,1.0001659,196,173
DFS,1.0001659,491,454
DFS_LIM,0.0,328,96
DFS,1.0006428,649,899
DFS_LIM,1.0006428,696,825
DFS,0.0,255,241
DFS_LIM,1.0004044,296,235
DFS,0.9999275,841,648
DFS_LIM,2.0000934999999997,790,650
DFS,1.9977093,793,880
DFS_LIM,0.9999275,805,532
DFS,0.9992123,388,772
DFS_LIM,1.0001659,454,396
DFS,0.9996891,456,473
DFS_LIM,1.0015965,464,473
DFS,2.0017624,745,649
DFS_LIM,1.9979477,794,641
DFS,0.0,282,514
DFS_LIM,1.0001659,435,254
DFS,0.9996891,591,746
DFS_LIM,2.0027160999999998,867,148
DFS,0.9992123,355,269
DFS_LIM,1.0001659,609,327
DFS,0.0,58,64
DFS_LIM,0.0,142,66
DFS,2.0010471,599,635
DFS_LIM,0.9994507,637,573
DFS,0.9973048999999999,240,685
DFS_LIM,0.9992123,434,191
DFS,0.9963512,641,488
DFS_LIM,0.9999275,706,336
DFS,2.0046234,768,719
DFS_LIM,0.9984970000000001,892,611
DFS,1.0006428,140,158
DFS_LIM,0.0,216,202
DFS,0.0,191,82
DFS_LIM,0.9987354,177,222
DFS,1.0006428,288,712
DFS_LIM,0.9996891,358,156
DFS,1.9984245,848,577
DFS_LIM,1.0039806,680,557
DFS,1.0042191,353,746
DFS_LIM,2.0005702999999997,714,118
DFS,1.9972324,757,711
DFS_LIM,0.9973048999999999,742,475
DFS,2.0000934999999997,850,514
DFS_LIM,1.0001659,719,518
DFS,1.0004044,924,545
DFS_LIM,1.9986628999999998,915,163
DFS,0.9970665,227,588
DFS_LIM,1.0025501,504,588
DFS,1.9967556,724,876
DFS_LIM,0.9999275,569,224
DFS,2.0036696999999997,842,964
DFS_LIM,1.9958019,745,1024
DFS,0.0,192,210
DFS_LIM,0.9999275,228,218
DFS,0.9989738,235,432
DFS_LIM,1.9989014,518,624
DFS,0.9996891,783,1014
DFS_LIM,2.0003319,858,820
DFS,1.0018349,533,785
DFS_LIM,0.9999275,421,615
DFS,0.0,174,550
DFS_LIM,0.9992123,288,556
DFS,0.9999275,56,344
DFS_LIM,0.0,58,106
DFS,1.0001659,520,788
DFS_LIM,1.0001659,557,792
DFS,0.0,32,30
DFS_LIM,0.0,170,38
DFS,0.9987354,220,282
DFS_LIM,1.0001659,451,420
DFS,0.9994507,373,532
DFS_LIM,1.999855,911,180
DFS,1.9977093,652,742
DFS_LIM,0.9999275,637,500
DFS,0.9999275,449,465
DFS_LIM,0.9996891,861,891
DFS,1.0001659,913,620
DFS_LIM,1.0004044,602,62
DFS,0.9999275,424,680
DFS_LIM,1.0004044,283,478
DFS,0.9999275,420,706
DFS_LIM,0.0,304,436
DFS,0.9999275,283,385
DFS_LIM,1.9996165999999997,538,537
DFS,0.9999275,506,810
DFS_LIM,0.9992123,624,758
DFS,0.0,370,791
DFS_LIM,1.0001659,501,99
DFS,0.9999275,487,588
DFS_LIM,1.0001659,469,534
DFS,0.0,68,140
DFS_LIM,1.0006428,194,150
DFS,2.0000934999999997,850,1202
DFS_LIM,0.9999275,390,436
DFS,0.0,265,420
DFS_LIM,0.9999275,490,376
DFS,2.0000934999999997,798,1103
DFS_LIM,1.999855,820,1025
DFS,0.0,208,201
DFS_LIM,1.0001659,550,811
DFS,0.0,174,145
DFS_LIM,1.0018349,363,199
DFS,1.0006428,303,291
DFS_LIM,1.0001659,428,377
DFS,2.0005702999999997,684,1252
DFS_LIM,1.0027885,699,366
DFS,1.0004044,698,580
DFS_LIM,1.0001659,515,134
DFS,1.999855,824,644
DFS_LIM,1.9996165999999997,857,1062
DFS,0.0,45,45
DFS_LIM,0.0,97,307
DFS,1.999855,561,895
DFS_LIM,1.999855,792,591
DFS,1.0004044,602,562
DFS_LIM,1.0001659,684,636
DFS,2.0000934999999997,754,644
DFS_LIM,0.9996891,500,326
DFS,0.9999275,661,705
DFS_LIM,0.9996891,689,729
DFS,0.0,303,674
DFS_LIM,0.9999275,401,66
DFS,1.0004044,701,607
DFS_LIM,1.001358,720,513
DFS,0.0,259,218
DFS_LIM,1.0004044,346,320
DFS,0.9996891,167,429
DFS_LIM,2.0000934999999997,813,339
DFS,1.9996165999999997,494,705
DFS_LIM,1.0011196,623,637
DFS,1.0004044,223,224
DFS_LIM,0.0,207,238
DFS,0.9996891,726,981
DFS_LIM,0.9999275,724,963
DFS,2.0000934999999997,784,1164
DFS_LIM,2.0008087,823,1096
DFS,0.9999275,283,551
DFS_LIM,2.0000934999999997,889,165
DFS,1.0001659,608,566
DFS_LIM,1.0020733,674,764
DFS,1.0006428,536,634
DFS_LIM,0.0,152,228
DFS,1.9996165999999997,890,688
DFS_LIM,1.0001659,854,220
DFS,0.9999275,502,574
DFS_LIM,1.0004044,511,346
DFS,1.0001659,606,814
DFS_LIM,0.9994507,639,774
DFS,0.0,153,153
DFS_LIM,1.0001659,466,547
DFS,0.9999275,565,980
DFS_LIM,1.999855,617,952
DFS,1.0006428,513,656
DFS_LIM,1.9996165999999997,732,96
DFS,0.9999275,344,631
DFS_LIM,1.0006428,338,585
DFS,0.9999275,466,724
DFS_LIM,0.9999275,590,192
DFS,0.9994507,372,825
DFS_LIM,1.0001659,447,711
DFS,0.9999275,324,571
DFS_LIM,1.0006428,460,603
DFS,0.0,364,609
DFS_LIM,0.9996891,195,51
DFS,0.0,262,224
DFS_LIM,1.0006428,437,64
DFS,0.9999275,519,602
DFS_LIM,2.0003319,675,502
DFS,1.0011196,836,469
DFS_LIM,0.9996891,515,749
DFS,1.0004044,506,522
DFS_LIM,0.9999275,505,578
DFS,0.9999275,548,795
DFS_LIM,1.0004044,535,77
DFS,1.9996165999999997,744,1000
DFS_LIM,2.0003319,803,710
DFS,0.9996891,648,857
DFS_LIM,1.0008812,680,745
DFS,1.9991397999999998,580,605
DFS_LIM,2.0005702999999997,574,365
DFS,0.9999275,545,711
DFS_LIM,1.0004044,417,149
DFS,0.9987354,786,1213
DFS_LIM,1.999855,771,1181
DFS,1.0035038,247,204
DFS_LIM,1.0023117,309,248
DFS,0.9987354,164,361
DFS_LIM,1.0032654,469,215
DFS,1.999855,862,281
DFS_LIM,0.0,146,35
DFS,1.9996165999999997,850,760
DFS_LIM,0.9999275,880,538
DFS,0.9999275,528,811
DFS_LIM,1.0001659,560,661
DFS,0.0,244,512
DFS_LIM,1.0001659,511,534
DFS,2.0003319,801,924
DFS_LIM,0.9999275,815,1206
DFS,0.9999275,472,705
DFS_LIM,1.999855,528,641
DFS,1.0004044,330,345
DFS_LIM,1.001358,439,209
DFS,0.9999275,307,333
DFS_LIM,1.0004044,557,341
DFS,0.0,98,81
DFS_LIM,0.0,144,113
DFS,2.0005702999999997,775,504
DFS_LIM,1.9996165999999997,780,570
DFS,1.9972324,908,294
DFS_LIM,1.999855,906,188
DFS,2.0039082,803,1005
DFS_LIM,1.9991397999999998,808,833
DFS,1.0001659,364,370
DFS_LIM,1.0004044,390,186
DFS,1.0006428,420,719
DFS_LIM,0.9999275,460,783
DFS,0.9999275,711,640
DFS_LIM,1.999855,768,498
DFS,0.0,244,283
DFS_LIM,1.0004044,347,211
DFS,2.0034313,670,1013
DFS_LIM,0.9992123,449,699
DFS,0.0,115,198
DFS_LIM,0.0,370,192
DFS,0.9996891,450,521
DFS_LIM,1.999855,794,657
DFS,0.9999275,589,665
DFS_LIM,0.9963512,495,399
DFS,0.9999275,718,726
DFS_LIM,1.9977093,722,594
DFS,1.0001659,456,839
DFS_LIM,0.9973048999999999,510,807
DFS,2.0008087,917,147
DFS_LIM,2.0022392,658,153
DFS,0.0,203,262
DFS_LIM,1.0006428,268,268
DFS,1.0001659,419,358
DFS_LIM,1.0037422,545,248
DFS,1.0032654,304,371
DFS_LIM,0.9992123,448,503
DFS,1.0001659,409,520
DFS_LIM,2.0005702999999997,858,506
DFS,1.0006428,615,612
DFS_LIM,1.0032654,531,394
DFS,1.0011196,677,513
DFS_LIM,0.9989738,617,285
DFS,1.9969940000000002,897,231
DFS_LIM,0.9999275,889,263
DFS,1.9993782,834,679
DFS_LIM,1.0018349,424,339
DFS,1.0020733,420,505
DFS_LIM,0.9999275,527,443
DFS,1.999855,916,478
DFS_LIM,1.0001659,913,564
DFS,1.0001659,120,161
DFS_LIM,0.0,173,257
DFS,1.0004044,579,961
DFS_LIM,1.9996165999999997,702,439
DFS,0.9999275,421,644
DFS_LIM,0.9999275,911,382
DFS,1.9974709000000002,778,901
DFS_LIM,1.0001659,824,753
DFS,2.0034313,785,662
DFS_LIM,1.9958019,741,658
DFS,1.0006428,335,532
DFS_LIM,1.0027885,788,334
DFS,0.9996891,504,590
DFS_LIM,1.999855,627,804
DFS,0.9999275,90,107
DFS_LIM,1.0001659,107,131
DFS,0.9992123,387,681
DFS_LIM,1.0004044,688,423
DFS,0.9999275,702,1038
DFS_LIM,2.0003319,863,1146
DFS,0.9999275,490,746
DFS_LIM,1.0004044,456,762
DFS,0.9999275,482,845
DFS_LIM,0.9999275,576,65
DFS,1.0023117,613,992
DFS_LIM,0.9999275,502,882
DFS,1.9972324,854,1145
DFS_LIM,1.999855,848,1063
DFS,0.9999275,266,309
DFS_LIM,0.9999275,498,307
DFS,0.9996891,375,725
DFS_LIM,0.9999275,424,649
DFS,1.0001659,94,160
DFS_LIM,1.0001659,149,108
DFS,1.999855,782,1036
DFS_LIM,0.9999275,778,1034
DFS,0.9999275,860,897
DFS_LIM,2.0000934999999997,838,813
DFS,0.0,218,523
DFS_LIM,0.9999275,282,485
DFS,1.0001659,705,885
DFS_LIM,2.0003319,695,789
DFS,1.0001659,303,497
DFS_LIM,0.9996891,634,461
DFS,1.0001659,637,1060
DFS_LIM,1.9996165999999997,616,940
DFS,1.0001659,409,427
DFS_LIM,0.0,243,423
DFS,0.9999275,489,614
DFS_LIM,2.0003319,724,468
DFS,0.0,189,523
DFS_LIM,1.0004044,337,485
DFS,1.0004044,468,787
DFS_LIM,0.9999275,463,347
DFS,0.9999275,597,390
DFS_LIM,1.0011196,643,142
DFS,0.9996891,53,131
DFS_LIM,1.0027885,249,131
DFS,0.9994507,920,298
DFS_LIM,1.0018349,476,226
DFS,2.0003319,753,1157
DFS_LIM,1.0020733,735,599
DFS,1.0001659,398,421
DFS_LIM,0.9999275,272,173
DFS,0.9999275,263,461
DFS_LIM,0.9996891,341,505
DFS,0.9996891,593,465
DFS_LIM,1.0030270000000001,505,425
DFS,1.999855,887,632
DFS_LIM,0.9999275,478,626
DFS,0.9999275,599,520
DFS_LIM,1.0001659,481,382
DFS,1.0001659,267,874
DFS_LIM,0.9999275,421,158
DFS,2.0000934999999997,899,698
DFS_LIM,1.9993782,616,398
DFS,1.0025501,249,621
DFS_LIM,1.0001659,411,245
DFS,1.0023117,395,702
DFS_LIM,1.0004044,421,144
DFS,1.999855,491,940
DFS_LIM,1.999855,706,484
DFS,1.0004044,203,198
DFS_LIM,0.0,261,84
DFS,0.9999275,335,656
DFS_LIM,0.9996891,448,568
DFS,0.9999275,249,255
DFS_LIM,0.9999275,437,267
DFS,0.0,42,42
DFS_LIM,0.0,60,42
DFS,1.0004044,335,777
DFS_LIM,1.0023117,315,647
DFS,1.0008812,291,607
DFS_LIM,0.0,207,207
DFS,0.0,317,641
DFS_LIM,1.0025501,566,617
DFS,1.0004044,612,612
DFS_LIM,1.0020733,606,374
DFS,1.999855,900,871
DFS_LIM,1.0027885,611,87
DFS,0.9989738,449,453
DFS_LIM,2.0003319,518,399
